arc_type,rel_pin,rel_pin_dir,constr_pin_dir,probe_pattern,num_rules,num_cell_patterns,template
hold,E,rise,rise,len_2,3,1,hold/template__SLH__rise__SE__rise__pushout__2.sp
hold,CLKIN,rise,rise,none,2,2,hold/template__latch__rise__rise__glitch__maxq__1.sp
hold,CLKIN,rise,fall,none,2,2,hold/template__latch__rise__fall__pushout__1.sp
nochange_low_high,I0,rise,fall,none,2,2,nochange/template__ckgmux2__setup__rise__s__fall__pushout__1.sp
nochange_low_high,I0,fall,rise,none,2,2,nochange/template__ckgmux2__hold__fall__s__rise__pushout__1.sp
hold,CLK|CP,rise,rise,len_1,2,1,hold/template__common__rise__rise__1.sp
hold,CLK|CP,rise,fall,len_1,2,1,hold/template__common__rise__fall__1.sp
hold,nx,rise,rise,none,1,1,hold/template__gclk__nx__rise__scanmode__rise__glitch__minq__1.sp
hold,nx,rise,fall,none,1,1,hold/template__gclk__nx__rise__scanmode__fall__glitch__minq__1.sp
hold,nx,rise,rise,len_2,1,1,hold/template__gclk__nx__rise__clken__rise__glitch__maxq__ml_b.sp
hold,nx,rise,fall,len_2,1,1,hold/template__gclk__nx__rise__clken__fall__glitch__minq__ml_b.sp
hold,nx,rise,rise,len_1,1,1,hold/template__gclk__nx__rise__clken__rise__glitch__maxq__1.sp
hold,nx,rise,fall,len_1,1,1,hold/template__gclk__nx__rise__clken__fall__pushout__1.sp
hold,CLKIN,rise,rise,contains_CLKOUT_ml_b,1,1,hold/template__latch__rise__rise__glitch__maxq__1.sp
hold,CLKIN,rise,fall,contains_CLKOUT,1,1,hold/template__latch__rise__fall__pushout__1.sp
hold,CLKIN,rise,fall,contains_ml_b,1,1,hold/template__latch__rise__fall__glitch__minq__1.sp
removal,CP,rise,fall,len_1,1,1,hold/template__latch__rise__fall__glitch__minq__1.sp
nochange_high_high,CP,rise,rise,contains_preZ,1,1,nochange/template__ckg__setup__rise__en__rise__pushout__maxq__1.sp
nochange_high_high,CP,fall,fall,contains_preZ,1,1,nochange/template__ckg__hold__fall__en__fall__pushout__minq__negative__1.sp
nochange_low_low,CP,fall,fall,contains_preZ,1,1,nochange/template__ckg__setup__fall__en__fall__pushout__minq__1.sp
nochange_low_low,CP,rise,rise,contains_preZ,1,1,nochange/template__ckg__hold__rise__en__rise__pushout__maxq__negative__1.sp
